id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1412787,"Big room suite by the river, near ICON SIAM",7616231,Jeab,,Khlong San,13.72174,100.50769,Entire home/apt,1778,3,149,23-09-2025,1.04,2,67,15,
1419797,2-room apartment@heart of BKK,7644106,Jirapha,,Parthum Wan,13.74381,100.54792,Entire home/apt,2025,7,127,30-07-2025,0.86,1,213,9,
1420577,River view near ICON SIAM 74sqm. Free pick up,7647775,Hataipat,,Khlong San,13.71847,100.50914,Entire home/apt,,45,1,25-08-2013,0.01,5,149,0,
1421233,Close to river and near city. Free pick up,7647775,Hataipat,,Khlong San,13.71672,100.5092,Entire home/apt,,30,72,27-02-2020,0.51,5,3,0,
1440474,"Studio Sukhumvit 22, MRT BTS Asok Phrom Phong (2F)",7736004,Prim,,Khlong Toei,13.72670937,100.5635605,Entire home/apt,1758,7,23,06-04-2025,0.18,3,254,10,
1444053,Cozy 7th,7753623,Kia,,Chatu Chak,13.79616,100.56478,Private room,1312,2,0,,,1,179,0,
1452584,Quiet&Cozy Place on Thong Lor Street,578672,Warin,,Vadhana,13.73862,100.585,Private room,997,3,1,01-01-2014,0.01,1,364,0,
1453230,LumpiniVille Prachachuen-Phongphet2,7795450,Kirawut,,Vadhana,13.7214,100.58484,Private room,,1,0,,,1,0,0,
1457235,City view Studio surrounding by street food,5793490,Nicky,,Bang Kho laen,13.6993291,100.5272899,Entire home/apt,1351,2,20,24-02-2025,0.15,6,267,7,
1463101,"Comfortable serviced 1BR, BTS, POOL",7840606,Nap,,Phaya Thai,13.78519,100.5496,Entire home/apt,,1,8,03-12-2022,0.07,1,0,0,
1485265,New Model Studio 24 - Sukhumvit 77,5469970,Yair,,Suanluang,13.72162,100.61622,Entire home/apt,1099,28,19,04-02-2025,0.14,17,331,2,
1504766,Cozy Riverfront APT with sunset view,1681901,Pornpan,,Bang Kho laen,13.68839,100.51065,Entire home/apt,1749,28,23,13-08-2025,0.18,2,254,7,
1507375,One bed room comfortable condo,8008449,Sina,,Vadhana,13.70714,100.60281,Entire home/apt,,1,0,,,1,0,0,
1522068,100sqm 2BR â€¢ Easy DMK Access â€¢ Near SRT Station,8123510,Tatiya,,Chatu Chak,13.84340286,100.5621872,Entire home/apt,2262,2,301,28-08-2025,2.1,29,362,28,
1526123,Thong Lo Cozy Haven: Charming 60 sqm Home,1774390,Add,,Vadhana,13.73767,100.58381,Entire home/apt,2172,3,48,16-07-2025,0.33,2,347,4,
